"q5","q25","q50","q75","q95","id","baseweek","start","end","q95old","window","basedate","startdate","enddate"
1,1,2,5,16,"11","2010W20","2009W10","2010W10",5,"52",2010-05-16,2009-03-08,2010-03-07
0,1,2,3,6,"11","2010W21","2009W31","2009W35",19,"4",2010-05-23,2009-08-02,2009-08-30
0,1,2,3,6,"11","2010W21","2009W27","2009W35",19,"8",2010-05-23,2009-07-05,2009-08-30
0,1,2,3,6,"11","2010W21","2009W09","2009W35",19,"26",2010-05-23,2009-03-01,2009-08-30
0,1,2,3,6,"11","2010W21","2008W36","2009W35",19,"52",2010-05-23,2008-08-31,2009-08-30
6,9,11,11,11,"11","2010W22","2010W06","2010W10",6,"4",2010-05-30,2010-02-07,2010-03-07
7,10,11,11,17,"11","2010W22","2010W02","2010W10",6,"8",2010-05-30,2010-01-10,2010-03-07
1,2,3,10,19,"11","2010W22","2009W36","2010W10",6,"26",2010-05-30,2009-09-06,2010-03-07
1,1,2,5,16,"11","2010W22","2009W10","2010W10",6,"52",2010-05-30,2009-03-08,2010-03-07
0,1,2,4,6,"11","2010W23","2009W33","2009W37",19,"4",2010-06-06,2009-08-16,2009-09-13
1,1,2,3,5,"11","2010W23","2009W29","2009W37",19,"8",2010-06-06,2009-07-19,2009-09-13
1,1,2,3,5,"11","2010W23","2009W11","2009W37",19,"26",2010-06-06,2009-03-15,2009-09-13
1,1,2,3,5,"11","2010W23","2008W38","2009W37",19,"52",2010-06-06,2008-09-14,2009-09-13
2,4,5,6,10,"11","2010W24","2010W10","2010W14",5,"4",2010-06-13,2010-03-07,2010-04-04
2,4,5,7,10,"11","2010W24","2010W06","2010W14",5,"8",2010-06-13,2010-02-07,2010-04-04
2,4,5,7,16,"11","2010W24","2009W40","2010W14",5,"26",2010-06-13,2009-10-04,2010-04-04
1,2,4,5,11,"11","2010W24","2009W14","2010W14",5,"52",2010-06-13,2009-04-05,2010-04-04
3,3,3,3,3,"11","2010W25","2009W41","2009W45",16,"4",2010-06-20,2009-10-11,2009-11-08
